iter	Passed	Remaining
753	539443	175998
754	540122	175271
755	540783	174538
756	541427	173800
757	542062	173059
758	542698	172319
759	543337	171580
760	543990	170845
761	544624	170105
762	545259	169366
763	545895	168627
764	546532	167889
765	547167	167150
766	547804	166412
767	548438	165674
768	549085	164939
769	549785	164221
770	550533	163517
771	551308	162821
772	551943	162084
773	552587	161349
774	553256	160622
775	553929	159897
776	554570	159162
777	555220	158430
778	555858	157695
779	556499	156961
780	557138	156226
781	557773	155491
782	558410	154757
783	559070	154029
784	559722	153299
785	560391	152574
786	561026	151840
787	561666	151108
788	562303	150375
789	562939	149642
790	563601	148916
791	564240	148184
792	564877	147452
793	565515	146720
794	566151	145988
795	566790	145257
796	567421	144525
797	568052	143792
798	568690	143062
799	569337	142334
800	570019	141615
801	570663	140887
802	571296	140156
803	571934	139426
804	572571	138697
805	573344	138001
806	573996	137275
807	574634	136546
808	575262	135816
809	575894	135086
810	576531	134358
811	577166	133629
812	577804	132902
813	578438	132173
814	579080	131447
815	579715	130720
816	580344	129991
817	580986	129265
818	581629	128540
819	582264	127814
820	582910	127090
821	583585	126372
822	584233	125649
823	584885	124926
824	585522	124201
825	586158	123476
826	586795	122751
827	587424	122025
828	588061	121301
829	588702	120577
830	589333	119852
831	589973	119129
832	590613	118406
833	591240	117680
834	591876	116957
835	592510	116234
836	593158	115513
837	593836	114798
838	594515	114084
839	595160	113363
840	595798	112642
841	596434	111920
842	597070	111198
843	597713	110477
844	598347	109755
845	598983	109034
846	599616	108313
847	600247	107591
848	600888	106871
849	601521	106150
850	602151	105429
851	602784	104709
852	603425	103990
853	604092	103275
854	604752	102560
855	605406	101844
856	606044	101125
857	606679	100406
858	607309	99686
859	607943	98967
860	608576	98248
861	609220	97531
862	609865	96815
863	610498	96097
864	611131	95378
865	611766	94661
866	612406	93944
867	613048	93228
868	613710	92515
869	614359	91800
870	615022	91088
871	615808	90393
872	616443	89677
873	617082	88961
874	617748	88249
875	618483	87547
876	619325	86860
877	619957	86144
878	620597	85429
879	621223	84712
880	621867	83997
881	622532	83286
882	623176	82572
883	623856	81863
884	624489	81148
885	625124	80433
886	625763	79719
887	626395	79004
888	627059	78294
889	627705	77581
890	628341	76867
891	628986	76155
892	629621	75441
893	630721	74783
894	631566	74094
895	632422	73406
896	633416	72733
897	634266	72043
898	635104	71352
899	635859	70651
900	636732	69962
901	637479	69260
902	638441	68581
903	639300	67890
904	640185	67201
905	641052	66510
906	641838	65811
907	642777	65127
908	643578	64428
909	644352	63727
910	645146	63027
911	645999	62333
912	646785	61632
913	647635	60937
914	648366	60230
915	649042	59519
916	650066	58839
917	651149	58163
918	652048	57471
919	652921	56775
920	653669	56069
921	654675	55384
922	655649	54696
923	656555	54002
924	657327	53296
925	658083	52589
926	659058	51899
927	659860	51196
928	660554	50483
929	661257	49772
930	661944	49059
931	662639	48347
932	663326	47634
933	664047	46924
934	664772	46214
935	665479	45502
936	666174	44790
937	666867	44078
938	667588	43368
939	668281	42656
940	668981	41944
941	669703	41234
942	670393	40522
943	671090	39810
944	671772	39097
945	672462	38385
946	673219	37677
947	673935	36966
948	674636	36255
949	675331	35543
950	676028	34832
951	676719	34120
952	677411	33408
953	678108	32697
954	678804	31985
955	679488	31273
956	680175	30561
957	680884	29850
958	681597	29140
959	682311	28429
960	683044	27719
961	683740	27008
962	684430	26296
963	685131	25585
964	685828	24874
965	686517	24163
966	687207	23451
967	687901	22740
968	688603	22029
969	689292	21318
970	690006	20607
971	690887	19902
972	691616	19191
973	692310	18480
974	693021	17769
975	693727	17058
976	694419	16347
977	695108	15636
978	695807	14925
979	696510	14214
980	697198	13503
981	697908	12792
982	698603	12081
983	699320	11371
984	700048	10660
985	700771	9950
986	701463	9239
987	702168	8528
988	702861	7817
989	703571	7106
990	704258	6395
991	704995	5685
992	705734	4974
993	706446	4264
994	707139	3553
995	707847	2842
996	708540	2132
997	709240	1421
998	709986	710
999	710708	0
